Batch, Algorithm, Group, Mean, Samples, Variance
0, ab, control, 0.404762, 42, 0.246806
0, bandit, control, 0.434783, 92, 0.248447
0, ab, test, 0.172414, 58, 0.145191
0, bandit, test, 0.000000, 8, 0.000000
1, ab, control, 0.367089, 79, 0.235313
1, bandit, control, 0.414013, 157, 0.244161
1, ab, test, 0.190083, 121, 0.155234
1, bandit, test, 0.186047, 43, 0.155039
2, ab, control, 0.360000, 125, 0.232258
2, bandit, control, 0.420091, 219, 0.244732
2, ab, test, 0.160000, 175, 0.135172
2, bandit, test, 0.160494, 81, 0.136420
3, ab, control, 0.337423, 163, 0.224949
3, bandit, control, 0.410526, 285, 0.242847
3, ab, test, 0.151899, 237, 0.129371
3, bandit, test, 0.130435, 115, 0.114416
4, ab, control, 0.338384, 198, 0.225017
4, bandit, control, 0.411932, 352, 0.242934
4, ab, test, 0.162252, 302, 0.136378
4, bandit, test, 0.148649, 148, 0.127413
5, ab, control, 0.351240, 242, 0.228816
5, bandit, control, 0.394799, 423, 0.239499
5, ab, test, 0.184358, 358, 0.150791
5, bandit, test, 0.163842, 177, 0.137776
6, ab, control, 0.374172, 302, 0.234945
6, bandit, control, 0.402806, 499, 0.241036
6, ab, test, 0.193467, 398, 0.156431
6, bandit, test, 0.159204, 201, 0.134527
7, ab, control, 0.394118, 340, 0.239493
7, bandit, control, 0.409807, 571, 0.242290
7, ab, test, 0.195652, 460, 0.157715
7, bandit, test, 0.192140, 229, 0.155903
8, ab, control, 0.391645, 383, 0.238883
8, bandit, control, 0.409375, 640, 0.242165
8, ab, test, 0.191489, 517, 0.155121
8, bandit, test, 0.192308, 260, 0.155925
9, ab, control, 0.382979, 423, 0.236866
9, bandit, control, 0.409673, 703, 0.242186
9, ab, test, 0.187175, 577, 0.152405
9, bandit, test, 0.195286, 297, 0.157680
10, ab, control, 0.379085, 459, 0.235893
10, bandit, control, 0.409922, 766, 0.242202
10, ab, test, 0.185647, 641, 0.151419
10, bandit, test, 0.179641, 334, 0.147812
11, ab, control, 0.380000, 500, 0.236072
